604608.9326;281414.1766;7.5;7;30;47.68333333;47;41;4521;1579;196;298;400;450;32;29;50;124;;
601915;271300;7.466666667;7;28;47.6;47;36;728;284;36;62;91;80;6;6;0;3;;
600350;268340;7.45;7;27;47.56666667;47;34;511;188;40;39;60;24;9;2;7;7;;
605805;263715;7.516666667;7;31;47.51666667;47;31;541;219;47;44;59;46;9;9;4;1;;
600460;270755;7.45;7;27;47.58333333;47;35;675;271;58;58;52;51;14;1;0;37;;
598525;269590;7.416666667;7;25;47.58333333;47;35;597;177;49;20;49;51;4;3;0;1;;
607240;276250;7.533333333;7;32;47.63333333;47;38;2116;793;81;161;226;190;11;6;5;110;;
609632.8075;270300.9581;7.566666667;7;34;47.58333333;47;35;20124;8889;700;950;788;250;933;3127;1100;1041;;
601235;278000;7.45;7;27;47.65;47;39;2878;1032;186;150;175;119;60;28;78;236;;
598955;274820;7.433333333;7;26;47.61666667;47;37;315;111;34;10;34;20;7;2;0;4;;
600290;277660;7.45;7;27;47.65;47;39;907;335;63;47;105;65;15;6;5;29;;
609840;272860;7.566666667;7;34;47.6;47;36;3715;1475;323;321;166;150;48;52;146;269;;
603075;266550;7.483333333;7;29;47.55;47;33;725;226;63;52;42;46;7;4;0;12;;
