x	y
0.000000	0.000000
59.000002	0.166667
120.000003	0.166667
179.999999	0.166667
239.000001	0.166667
300.000002	0.166667
359.999999	0.166667
419.000001	0.166667
480.000002	0.166667
539.000003	0.166667
599.000000	0.166667
660.000001	0.166667
719.000003	0.166667
778.999999	0.166667
840.000000	0.166667
899.000002	0.166667
958.999998	0.166667
1020.000000	0.166667
1079.000001	0.166667
1138.999998	0.166667
1199.999999	0.166667
1259.000001	0.166667
1318.999997	0.166667
1379.999998	0.166667
1439.000000	0.166667
1499.000007	0.166667
1559.999998	0.166667
1618.999999	0.166667
1680.000000	0.166667
1739.999997	0.166667
1798.999999	0.166667
1860.000000	0.166667
1920.000006	0.166667
1978.999998	0.166667
2039.999999	0.166667
2100.000006	0.166667
2158.999997	0.166667
2219.999998	0.166667
2280.000005	0.166667
2338.999997	0.166667
2399.999998	0.166667
2460.000004	0.166667
2519.000006	0.166667
2579.999997	0.166667
2638.999999	0.166667
2699.000005	0.166667
2760.000006	0.166667
2818.999998	0.166667
2879.000005	0.166667
2940.000006	0.166667
2998.999998	0.166667
3059.000004	0.166667
3120.000005	0.166667
3178.999997	0.166667
3239.000003	0.166667
3300.000004	0.166667
3359.000006	0.166667
3419.999997	0.166667
3480.000004	0.166667
3539.000006	0.166667
3599.999997	0.166667
3660.000003	0.166667
3719.000005	0.166667
3780.000006	0.166667
3840.000002	0.166667
3899.000004	0.166667
3960.000005	0.166667
4020.000002	0.166667
4079.000004	0.166667
4140.000005	0.166667
4200.000001	0.166667
4259.000003	0.166667
4320.000004	0.166667
4380.000000	0.166667
4439.000002	0.166667
4500.000003	0.166667
4560.000000	0.166667
4619.000002	0.166667
4680.000003	0.166667
4739.000005	0.166667
4799.000001	0.166667
4860.000002	0.166667
4919.000004	0.166667
4979.000000	0.166667
5040.000001	0.166667
5099.000003	0.166667
5159.000000	0.166667
5220.000001	0.166667
5279.000003	0.166667
5340.000004	0.166667
5400.000000	0.166667
5459.000002	0.166667
5520.000003	0.166667
5579.999999	0.166667
5639.000001	0.166667
5700.000002	0.166667
5759.999999	0.166667
5819.000001	0.166667
5880.000002	0.166667
5939.999998	0.166667
5999.000000	0.166667
6060.000001	0.166667
6119.999997	0.166667
6178.999999	0.166667
6240.000000	0.166667
6299.999997	0.166667
6358.999998	0.166667
6420.000000	0.166667
6480.000006	0.166667
6538.999998	0.166667
6599.999999	0.166667
6659.000001	0.166667
6718.999997	0.166667
6779.999998	0.166667
6839.000000	0.166667
6899.000007	0.166667
6959.999998	0.166667
7018.999999	0.166667
7079.000006	0.166667
7139.999997	0.166667
7198.999999	0.166667
7260.000000	0.166667
7320.000006	0.366667
7378.999998	0.366667
7439.999999	0.366667
7500.000006	0.366667
7558.999997	0.366667
7619.999998	0.366667
7680.000005	0.366667
7738.999997	0.366667
7799.999998	0.366667
7860.000004	0.366667
7919.000006	0.366667
7979.999997	0.366667
8040.000004	0.366667
8099.000005	0.366667
8160.000006	0.366667
8220.000003	0.366667
8279.000005	0.366667
8340.000006	0.366667
8400.000002	0.366667
8459.000004	0.366667
8520.000005	0.366667
8578.999997	0.366667
8639.000003	0.366667
8700.000004	0.366667
8759.000006	0.366667
8819.000003	0.366667
8880.000004	0.366667
8939.000006	0.366667
8999.000002	0.366667
9060.000003	0.366667
9119.000005	0.366667
9179.000001	0.366667
9240.000002	0.366667
9299.000004	0.366667
9360.000005	0.366667
9420.000002	0.366667
9479.000004	0.366667
9540.000005	0.366667
9600.000001	0.366667
9659.000003	0.366667
9720.000004	0.366667
9780.000000	0.366667
9839.000002	0.366667
9900.000003	0.366667
9960.000000	0.366667
10019.000002	0.366667
10080.000003	0.366667
10139.999999	0.366667
10199.000001	0.366667
10260.000002	0.366667
10319.999998	0.366667
10379.000000	0.366667
10440.000001	0.366667
10499.000003	0.366667
10559.000000	0.366667
10620.000001	0.366667
10679.000003	0.366667
10738.999999	0.366667
10800.000000	0.366667
10859.000002	0.366667
10918.999998	0.366667
10979.999999	0.366667
11039.000001	0.366667
11098.999998	0.366667
11159.999999	0.366667
11219.000001	0.366667
11278.999997	0.366667
11339.999998	0.366667
11399.000000	0.366667
11460.000001	0.366667
11519.999997	0.366667
11578.999999	0.366667
11640.000000	0.366667
11699.999997	0.366667
11758.999998	0.366667
11820.000000	0.366667
11880.000006	0.366667
11938.999998	0.366667
11999.999999	0.366667
12060.000005	0.366667
12118.999997	0.366667
12179.999998	0.366667
12240.000005	0.366667
12299.000007	0.366667
12359.999998	0.366667
12420.000004	0.366667
12479.000006	0.366667
12539.999997	0.366667
12598.999999	0.366667
12659.000005	0.366667
12720.000006	0.366667
12778.999998	0.366667
12839.000005	0.366667
12900.000006	0.366667
12958.999997	0.366667
13019.000004	0.366667
13080.000005	0.366667
13138.999997	0.366667
13199.000003	0.366667
13260.000004	0.366667
13319.000006	0.366667
13379.000003	0.366667
13440.000004	0.366667
13499.000005	0.366667
13560.000006	0.366667
13620.000003	0.366667
13679.000005	0.366667
13740.000006	0.366667
13800.000002	0.366667
13859.000004	0.366667
13920.000005	0.366667
13980.000002	0.366667
14039.000003	0.366667
14100.000004	0.366667
14160.000001	0.366667
14219.000003	0.366667
14280.000004	0.366667
14340.000000	0.366667
14399.000002	0.366667
14460.000003	0.366667
14519.000005	0.750000
14579.000001	0.750000
14640.000002	0.750000
14699.000004	0.750000
14759.000001	0.750000
14820.000002	0.750000
14879.000004	0.750000
14939.000000	0.750000
15000.000001	0.750000
15059.000003	0.750000
15118.999999	0.750000
15180.000000	0.750000
15239.000002	0.750000
15298.999999	0.750000
15360.000000	0.750000
15419.000002	0.750000
15478.999998	0.750000
15539.999999	0.750000
15599.000001	0.750000
15660.000002	0.750000
15719.999998	0.750000
15779.000000	0.750000
15840.000001	0.750000
15899.999998	0.750000
15959.000000	0.750000
16020.000001	0.750000
16079.999997	0.750000
16138.999999	0.750000
16200.000000	0.750000
16260.000006	0.750000
16318.999998	0.750000
16379.999999	0.750000
16440.000006	0.750000
16498.999998	0.750000
16559.999999	0.750000
16620.000005	0.750000
16678.999997	0.750000
16739.999998	0.750000
16799.000000	0.750000
16859.000006	0.750000
16919.999997	0.750000
16978.999999	0.750000
17039.000006	0.750000
17099.999997	0.750000
17158.999998	0.750000
17219.000005	0.750000
17280.000006	0.750000
17338.999998	0.750000
17399.000004	0.750000
17460.000005	0.750000
17518.999997	0.750000
17579.000004	0.750000
17640.000005	0.750000
