611275.00;267340.00;0.47;0.03;0.25;0.02
611615.00;267760.00;0.33;0.05;-0.01;0.11
611290.00;266850.00;0.47;0.03;0.25;0.02
610516.00;267337.00;0.47;0.03;0.25;0.02
613390.00;266930.00;0.33;0.05;-0.01;0.11
612700.00;266200.00;0.47;0.03;0.25;0.02
611711.00;265795.00;0.47;0.03;0.25;0.02
611775.00;264684.00;0.73;0.05;0.29;0.05
609869.00;266502.00;0.47;0.03;0.25;0.02
609910.00;267182.00;0.47;0.03;0.25;0.02
609804.00;267861.00;0.47;0.03;0.25;0.02
610241.00;268943.00;0.47;0.03;0.25;0.02
611831.00;268174.00;0.33;0.05;-0.01;0.11
612459.00;267835.00;0.33;0.05;-0.01;0.11
613126.00;268640.00;0.33;0.05;-0.01;0.11
612332.00;268545.00;0.33;0.05;-0.01;0.11
611580.00;268575.00;0.33;0.05;-0.01;0.11
611575.00;270360.00;0.33;0.05;-0.01;0.11
611494.00;269594.00;0.33;0.05;-0.01;0.11
611995.99;257387.11;0.47;0.03;0.25;0.02
607323.00;266713.00;0.47;0.03;0.25;0.02
613699.00;260186.00;0.47;0.03;0.25;0.02
605392.73;259902.42;0.00;0.00;0.00;0.00
617043.00;268959.00;0.74;0.09;0.42;0.08
606514.00;261812.00;0.47;0.03;0.25;0.09
610012.65;265144.95;0.47;0.03;0.25;0.09
614025.93;266819.99;0.33;0.05;-0.01;0.11
610140.00;263615.00;0.73;0.22;0.38;0.10
613526.00;258726.00;0.47;0.03;0.25;0.02
608016.27;258949.16;0.47;0.11;0.25;0.09
620853.76;261438.37;0.47;0.03;0.25;0.02
621650.00;265220.00;0.74;0.09;0.42;0.08
613684.22;262437.84;0.47;0.03;0.25;0.02
615320.00;264470.00;0.33;0.05;-0.01;0.11
608978.07;262719.56;0.00;0.00;0.00;0.00
619040.00;263560.00;0.33;0.05;-0.01;0.11
611484.00;260348.00;0.47;0.03;0.25;0.02
615730.00;269790.00;0.47;0.03;0.25;0.02
604772.82;265174.78;0.72;0.11;0.29;0.05
608678.39;260902.58;0.00;0.00;0.00;0.00
606354.29;259456.26;0.47;0.11;0.25;0.09
613815.00;275720.00;0.00;0.00;0.00;0.00
609620.80;277713.71;0.00;0.00;0.00;0.00
611800.00;275700.00;0.00;0.00;0.00;0.00
612125.30;277718.30;0.00;0.00;0.00;0.00
617166.49;266611.65;0.33;0.05;-0.01;0.11
618780.00;270900.00;0.74;0.09;0.42;0.08
616800.00;273420.00;0.47;0.03;0.25;0.02
615430.00;276830.00;0.72;0.11;0.29;0.05
614120.00;278500.00;0.72;0.11;0.29;0.05
622635.00;277100.00;0.47;0.03;0.25;0.02
614240.00;271475.00;0.47;0.03;0.25;0.02
615840.00;278450.00;0.72;0.11;0.29;0.05
601800.00;268425.00;0.00;0.00;0.00;0.00
602890.00;275970.00;0.47;0.03;0.25;0.02
604340.00;272330.00;0.47;0.03;0.25;0.02
601520.00;275100.00;0.72;0.11;0.29;0.05
605225.00;267580.00;0.72;0.11;0.29;0.05
600425.00;266570.00;0.00;0.00;0.00;0.00
603000.00;263850.00;0.00;0.00;0.00;0.00
602250.00;263200.00;0.00;0.00;0.00;0.00
606570.00;267880.00;0.47;0.03;0.25;0.02
598195.00;272780.00;0.72;0.11;0.29;0.05
606100.00;269425.00;0.47;0.03;0.25;0.02
610800.00;271510.00;0.33;0.05;-0.01;0.11
599825.00;274215.00;0.72;0.11;0.29;0.05
604608.93;281414.18;0.47;0.03;0.25;0.02
601915.00;271300.00;0.72;0.11;0.29;0.05
600350.00;268340.00;0.72;0.11;0.29;0.05
605805.00;263715.00;0.00;0.00;0.00;0.00
600460.00;270755.00;0.72;0.11;0.29;0.05
598525.00;269590.00;0.00;0.00;0.00;0.00
607240.00;276250.00;0.33;0.05;-0.01;0.11
609632.81;270300.96;0.47;0.03;0.25;0.02
601235.00;278000.00;0.47;0.03;0.25;0.02
598955.00;274820.00;0.72;0.11;0.29;0.05
600290.00;277660.00;0.72;0.11;0.29;0.05
609840.00;272860.00;0.33;0.05;-0.01;0.11
603075.00;266550.00;0.72;0.11;0.29;0.05
